,content,tags,data,place
0,.나 혼자 먹는다나 혼자 마신다지자매는 오므라이스 만들어 주고나는 느타리버섯 튀겨서 냠냠 먹기#남편은당직#택배언박싱#느타리버섯튀김#맛나다#맥주한잔#언제나지자매#자매스타그램#자매일상#일상공유#일상스타그램#주부스타그램#집밥#홈쿡#코로나일상,"['#남편은당직', '#택배언박싱', '#느타리버섯튀김', '#맛나다', '#맥주한잔', '#언제나지자매', '#자매스타그램', '#자매일상', '#일상공유', '#일상스타그램', '#주부스타그램', '#집밥', '#홈쿡', '#코로나일상']",2021-01-16,
1,#첫줄안녕..Nice to meet you??..#소확행#사이좋게지내렴,"['#첫줄안녕..Nice', '#소확행', '#사이좋게지내렴']",2021-01-14,
2,코로나가 바꾼 방학_계속해서 세 아이는 그림 삼매경_#새해일상 #방학일상 #아크릴화 #코로나일상 #엄마는미술치료사 #맘아트 #홈스쿨 #홈아트,"['#새해일상', '#방학일상', '#아크릴화', '#코로나일상', '#엄마는미술치료사', '#맘아트', '#홈스쿨', '#홈아트']",2021-01-04,
3,갑자기 내린눈에공원으로 달려나감..가게에 함께 출퇴근하는어린이..#수제초콜릿 #홍대 #연남동 #연남동초콜릿 #홍대초콜릿 #코로나일상 #가게일상#일상스타그램,"['#수제초콜릿', '#홍대', '#연남동', '#연남동초콜릿', '#홍대초콜릿', '#코로나일상', '#가게일상', '#일상스타그램']",2021-01-12,
4,.갓지은 하얀밥에 바글바글 김치찌개...#여보우리다여트는낼부터하까요#김치찌개만끓이면과식하는부부#밥도둑#저녁메뉴 #김치찌개#주부일상,"['#여보우리다여트는낼부터하까요', '#김치찌개만끓이면과식하는부부', '#밥도둑', '#저녁메뉴', '#김치찌개', '#주부일상']",2021-01-14,
5,?? 유럽여행 날아가고 제주라도 갈 수 있길 바라며무알콜맥주 회동??????? #집밖은위험해?? #코로나일상,"['#집밖은위험해??', '#코로나일상']",2021-01-16,
6,가고싶다. 매우. 카페.,[],2021-01-14,카페 녹슨 NOXON
7,.집 안에서 보는 눈이 젤 예쁘고 설레이는 것 같다.밖은 춥고.. 옷도 젖고.. 놀고 난 후엔 지치고.. 또....?????? (얘들아 미안...)오늘은 커피나 한 잔 내려서 우아하게 눈호강만 해야디~??...#주부일상#오늘눈사진아님주의,"['#주부일상', '#오늘눈사진아님주의']",2021-01-07,
8,온라인 수업끝나고 산책...산책은 해도 된다고 하니 그나마 숨좀 쉬겠다.오빠까지 하루종일 3대 컴퓨터가 돌아가고첼시는 내가 붙어서 해야하는데그 와중에 셋 점심시간이 다 다르고 ㅠㅠ휴...그래도 이렇게 한 주가 지나가는구나...나만 힘든게 아니니 잘 버텨보자구!그나저나 작년부터 온라인 한 엄마들 진짜 리스펙????__#covidlife #markham #toronto #canada #코로나일상 #산책 #마캄 #토론토 #캐나다 #캐나다일상,"['#covidlife', '#markham', '#toronto', '#canada', '#코로나일상', '#산책', '#마캄', '#토론토', '#캐나다', '#캐나다일상']",2021-01-14,"Markham, Ontario"
9,:) 맨날 물리면서 맨날 붙어있네#맘스타그램#딸스타그램#육아맘일상#육아소통환영#딸맘#딸바보#닭띠아기#코로나일상#슬기로운집콕생활,"['#맘스타그램', '#딸스타그램', '#육아맘일상', '#육아소통환영', '#딸맘', '#딸바보', '#닭띠아기', '#코로나일상', '#슬기로운집콕생활']",2021-01-17,"Busan 釜山, South Korea"
10,"지난해 연말 늙은호박죽이 너무 먹고싶어 전통시장을 돌고, 원당로컬푸드직매장가서 발견한 늙은호박!!~그 후 다리를 다쳐서 식탁위에 올려놓고 관상용으로 보다가 더 있다가는 못먹고 버릴것 같아 작심하고 손질했다.밤까기가 취미인데.. 호박은 정말 힘들군..ㅜ.ㅜ 두어시간 티비보면 단순노동하며 손질하고 삶아서 핸드믹서로 갈았는데 와!!~~ 색감이 이렇게 좋을줄이야~ 단호박 저리가라 할정도다~?? 건식찹쌀가루 익반죽하고, 팥삶아 한솥끓여 든든하게 한끼 먹었다!~만들다보니 손이 참 많이간다?? (파는 죽이 비싼게 아니네??) 엄마좀 갖다드리고, 간식 한번먹으면 빈솥일듯~?? 근데 내가 상상하던 그 죽이 아니라 좀 아쉽다~~#코로나일상 #집콕요리 #늙은호박 #호박죽 #식비생각하면 #집요리","['#코로나일상', '#집콕요리', '#늙은호박', '#호박죽', '#식비생각하면', '#집요리']",2021-01-17,
11,#sunny #niceday #walkinthepark #몇일걸러 #한시간 #나와줘야 #아들맘 #코로나일상,"['#sunny', '#niceday', '#walkinthepark', '#몇일걸러', '#한시간', '#나와줘야', '#아들맘', '#코로나일상']",2021-01-17,
12,".학교가기전에 한글 떼겠다고집에서 교재 사서 가르치기 시작한게 벌써 일년전. ㅋㄹㄴ로 유치원 등원도 못해 노출도 없고학습지 선생님도움도 안받은지라정말 천천히 그리고 오래 걸렸지만,매일매일 습관들여 따라와준 첫째한테 새삼 고마워지는날. #예비초등#홈스쿨링","['#예비초등', '#홈스쿨링']",2021-01-17,
13,..오늘은 고구마를 구워봤어요몇도에 몇분을 구워야 될지 서치를 해봤는데 천차만별 ㅋ고민끝에 200도에 30분으로 구워봤는데 딱이네요마켓컬리에서 구매한 호박고구마 짱맛있어요#food #군고구마 #호박고구마?? #jmt #마켓컬리 #쿠진아트 #에어프라이어오븐 #코로나일상 #2.5단계연장 #소통,"['#food', '#군고구마', '#호박고구마??', '#jmt', '#마켓컬리', '#쿠진아트', '#에어프라이어오븐', '#코로나일상', '#2.5단계연장', '#소통']",2021-01-17,
14,"...창밖을 내다보니 허전하고 쓸쓸하네...코로나시기의 집콕 집콕 집콕언제나 자유롭게 돌아 다닐 수 있을지,,#집콕생활 #코로나일상 #자유롭게살자 #매일","['#집콕생활', '#코로나일상', '#자유롭게살자', '#매일']",2021-01-17,
15,언니가 '그냥' 내가 떠올라 샀다며 넘나 귀여운 #식판 을 #선물 해줬어요:-)언니의 마음만큼 소중하고 귀엽지 않나요?ㅎㅎ 덕분에 저는 #코로나일상 으로 #집콕 하고 있는 #일요일오후 #소소하게 행복하네요??#주말오후 #데일리 #홈쿡 #홈카페 #홈카페놀이 #브런치 #브런치타임 #브런치메뉴 #홈메이드 #프렌치토스트 #프랜치토스트 #토스트 #식빵요리 #간편식 #간식 #나인웨어 #올디너리테이블세트 #빈티지핑크,"['#식판', '#선물', '#코로나일상', '#집콕', '#일요일오후', '#소소하게', '#주말오후', '#데일리', '#홈쿡', '#홈카페', '#홈카페놀이', '#브런치', '#브런치타임', '#브런치메뉴', '#홈메이드', '#프렌치토스트', '#프랜치토스트', '#토스트', '#식빵요리', '#간편식', '#간식', '#나인웨어', '#올디너리테이블세트', '#빈티지핑크']",2021-01-17,
16,마스크를 썼는지안썼는지도구별안될만큼 마스크가 편해진#마스크일상#코로나일상마스크이제 벗고싶다??#코로나조심하세요,"['#마스크일상', '#코로나일상마스크이제', '#코로나조심하세요']",2021-01-17,Cheongju
17,#코로나집밥 새조개만 사러 수산시장에 갔는데옆 횟집사장님이 애들아빠 가게 단골이시네 ^^;;;본의아니게 주객이 전도된 저녁밥상 ^^;;;맛있게 잘먹었습니다 새조개2키로는 방어회에 뭍혀집에서 먹으니 양도 적고 음...담엔 남당항가서 먹길 ~코로나19 뇨녀석땜.#코로나19로식비가어마어마 #새조개샤브샤브?? #양이적어요 #새조개2키로 #걍맛만봐라?????♀? #대방어맛나네 #주객전도된느낌?? #점점뷔페가되간다 #코로나일상 #외식하고싶다,"['#코로나집밥', '#코로나19로식비가어마어마', '#새조개샤브샤브??', '#양이적어요', '#새조개2키로', '#걍맛만봐라????\u200d♀?', '#대방어맛나네', '#주객전도된느낌??', '#점점뷔페가되간다', '#코로나일상', '#외식하고싶다']",2021-01-17,
18,코로나.. 잠잠해지려나 했더니..ㅠ오늘도 2명 발생??코로나일상 벗어나고 싶다아~~~나가서 맛난 거 사먹고 싶다ㅋㅋ집에서 처음 끓여 본 칼국수~~요즘 먹고 치우는게 젤  큰일이자...머먹지가 스트레스네ㅋㅋ??..#코로나일상 #주말일상 #일요일점심 #홈쿡 #바지락칼국수 #외식이언제였던가 #머먹지 #먹고사는게일 #코로나스트레스#소소한일상,"['#코로나일상', '#주말일상', '#일요일점심', '#홈쿡', '#바지락칼국수', '#외식이언제였던가', '#머먹지', '#먹고사는게일', '#코로나스트레스', '#소소한일상']",2021-01-17,행복한우리집
19,#민민네오후...스을쩍 잠이....오는구나...#나른한오후 #슬기로운집콕생활#코로나일상 #민민형제네,"['#민민네오후...스을쩍', '#나른한오후', '#슬기로운집콕생활', '#코로나일상', '#민민형제네']",2021-01-17,
20,유투브 보는 스머프??태양 일상#꽃#태양#사랑#이루다#주말#주말일상#코로나#코로나일상#일상#일상스타그램#데일리#데일리그램#맞팔#선팔#소통#공유#인친#친구#환영#좋아요#스머프#다이어트#다이어트중#인스타그램#셀스타그램,"['#꽃', '#태양', '#사랑', '#이루다', '#주말', '#주말일상', '#코로나', '#코로나일상', '#일상', '#일상스타그램', '#데일리', '#데일리그램', '#맞팔', '#선팔', '#소통', '#공유', '#인친', '#친구', '#환영', '#좋아요', '#스머프', '#다이어트', '#다이어트중', '#인스타그램', '#셀스타그램']",2021-01-17,
21,#일요일 #일상다이소 쇼핑후 이모가 보내준 #블럭젤리엄마 조금만 잘께하니 안된다고 하는 #배자매 둘다 엄마껌딱지 ㅜㅜ#코로나일상 #격하게나가고싶다,"['#일요일', '#일상다이소', '#블럭젤리엄마', '#배자매', '#코로나일상', '#격하게나가고싶다']",2021-01-17,
22,드디어 완성????.3주 걸렸던가?이번엔 또 뭘 하지???.....#베어브릭 #스와로브스키 #키덜트 #키덜트그램 #코로나일상 #애스타글램 #육아스타그램 #아기 #베이비 #베이비스타그램 #베이비그램 #베이비인스타 #인스타베이비 #아기스타그램 #예쁜아기 #아기데일리 #오케이베이비 #럽스타그램 #육아소통 #육아일기 #울애기 #instababy #baby #okbaby #babygram #babylove #babylife #일상 #맘스타그램 #줌마그램??,"['#베어브릭', '#스와로브스키', '#키덜트', '#키덜트그램', '#코로나일상', '#애스타글램', '#육아스타그램', '#아기', '#베이비', '#베이비스타그램', '#베이비그램', '#베이비인스타', '#인스타베이비', '#아기스타그램', '#예쁜아기', '#아기데일리', '#오케이베이비', '#럽스타그램', '#육아소통', '#육아일기', '#울애기', '#instababy', '#baby', '#okbaby', '#babygram', '#babylove', '#babylife', '#일상', '#맘스타그램', '#줌마그램??']",2021-01-17,
23,홈바 #부사이 핫플#세부#cebu#부사이#세부시티#일상#소통#맞팔#세부여행#필리핀#코로나일상#세부자유여행#시눌룩시즌#세부핫플,"['#부사이', '#세부', '#cebu', '#부사이', '#세부시티', '#일상', '#소통', '#맞팔', '#세부여행', '#필리핀', '#코로나일상', '#세부자유여행', '#시눌룩시즌', '#세부핫플']",2021-01-17,Cebu City
24,"조개로 배채워 보긴 처음!!지인통해 알게된 @yeonandol 오픈이벤트로 무료연안조개세트를 주더라고요 배송료만 내면 준다고했는데 설마라는 생각도있었고,양도 적을것같아서 저는 왕가리비랑 바지락1kg 같이 시켰는데 세식구 조개로 배채우고도 바지락조금,가리비조금 남았어요배달음식 시켜먹는것보다 싸더라구요 다해서 22,500원대박이죠?해감도잘해주셔서 집에서는 그닥 할께없어요.조개들이 깨끗해요주말까지는 아마도 행사할듯 합니다.인친님들도 신청해보세요조개껍질만 잘버려주면 되요 ㅎㅎ연안돌 덕분에 조개실컷먹었네요.가서먹으면 십만원넘게 나왔을껄요???????#연안돌#이벤트#조개구이#조개찜#바지락탕#가리비#홍합#소라#왕꼬막#조개맛집#맛집#먹스타그램#맛스타그램#홈쿡#코로나일상#슬기로운집콕생활 #주말#일상#소통#좋아요","['#연안돌', '#이벤트', '#조개구이', '#조개찜', '#바지락탕', '#가리비', '#홍합', '#소라', '#왕꼬막', '#조개맛집', '#맛집', '#먹스타그램', '#맛스타그램', '#홈쿡', '#코로나일상', '#슬기로운집콕생활', '#주말', '#일상', '#소통', '#좋아요']",2021-01-17,
25,서아는 언니 오빠만 만나면 깔깔깔깔????하마 바운스까지 ㅎㅎ@i._.home차 타자마자 거짓말 처럼 뻗음......#주말#코로나일상#사촌지간#에어바운스#딸스타그램#워킹맘#수지맘#용인맘#광교맘#노는거는1등#에너쟈이져딸,"['#주말', '#코로나일상', '#사촌지간', '#에어바운스', '#딸스타그램', '#워킹맘', '#수지맘', '#용인맘', '#광교맘', '#노는거는1등', '#에너쟈이져딸']",2021-01-17,부천 어딘가
26,.???? 엄맛! 일루와바!???? 왜 아들????? 나 몰래 또 뭐 숨겨 놨찡? 그징????? 으잉? 그건 또 뭔 소리야? 뭘 찾은거야?(숨긴게 하도 많아서...??)???? 이거이거....그건 바로 냉동실 서랍 한켠에 있던 옥수수 세자루..??여름내내 잘 쪄먹고 딱 세자루 남아 잊고 있던걸 3호가 귀신같이 찾아냈다.ㅋ바로 꺼내서 냄비에 푹~ 쪄줬다.이 겨울에 옥수수 삶는 냄새 참 좋네~오늘도 3호 덕분에 냉파 하는구나~ㅋ...#주말일상#옥수수,"['#주말일상', '#옥수수']",2021-01-17,
27,-결국 이거먹고  빨리 가봐야 한다는 그녀는..K2 그녀의머시기 노래를 듣지못하고 와사비와 모듬회를 싹쓸이 한후 사라졌다??????#missingyou??--#마산 #겨울 #주말 #저녁 #코로나일상 #창동 #아이샵 #퇴근후 #홈파티 #음악맛집 #?? #music #?? #?? #?? #취중진담 #술스타그램 #과음 #친친 #힐링 #행복 #웃음가득 #행복한시간 #추억 #일상 #사진 #영상 #앨범 #공유,"['#missingyou??--', '#마산', '#겨울', '#주말', '#저녁', '#코로나일상', '#창동', '#아이샵', '#퇴근후', '#홈파티', '#음악맛집', '#??', '#music', '#??', '#??', '#??', '#취중진담', '#술스타그램', '#과음', '#친친', '#힐링', '#행복', '#웃음가득', '#행복한시간', '#추억', '#일상', '#사진', '#영상', '#앨범', '#공유']",2021-01-17,마산 창동
28,핫플 2번째#부사이 핫플#세부#cebu#부사이#세부시티#일상#소통#맞팔#세부여행#필리핀#코로나일상#세부자유여행#시눌룩시즌#세부핫플#일요일,"['#부사이', '#세부', '#cebu', '#부사이', '#세부시티', '#일상', '#소통', '#맞팔', '#세부여행', '#필리핀', '#코로나일상', '#세부자유여행', '#시눌룩시즌', '#세부핫플', '#일요일']",2021-01-17,Cebu City
29,#주말저녁메뉴 #연탄구이삼겹살 #코로나일상.. 갑자기 거리에 사람들이 왜케 많아?코로나끝난줄~ㅠㅠ#그나마사람없는곳을 찾아~#덜미살 첨 먹어봤네..목덜미살인줄ㅋㅋ#귤구이?? 맛있구마~#김치찌게 #계란찜까지클리어 #오늘도살찌는중?? #추울땐소주 #나의 #주말 #술주말 #낼부턴다시#9시통금#바뀐일상 #바뀐술문화??#소통 #먹방 #맛집#수원역고기집 #수원역술집 #도둑고기수원역 #맛은 #인스 #진로이즈백 #참이슬,"['#주말저녁메뉴', '#연탄구이삼겹살', '#코로나일상..', '#그나마사람없는곳을', '#덜미살', '#귤구이??', '#김치찌게', '#계란찜까지클리어', '#오늘도살찌는중??', '#추울땐소주', '#나의', '#주말', '#술주말', '#낼부턴다시', '#9시통금', '#바뀐일상', '#바뀐술문화??', '#소통', '#먹방', '#맛집', '#수원역고기집', '#수원역술집', '#도둑고기수원역', '#맛은', '#인스', '#진로이즈백', '#참이슬']",2021-01-17,
30,..오늘 넘추웠다.???????♂? 살짝 불태웠다.???????♂?.#러닝 #3km #주말 #오후 #운동 #따로또같이#달리기 #런린이 #러너 #일요일 #?????♂?#코로나일상#주말 #외출 #한번 #감사한 #하루 #한파 #겨울왕국,"['#러닝', '#3km', '#주말', '#오후', '#운동', '#따로또같이', '#달리기', '#런린이', '#러너', '#일요일', '#????\u200d♂?', '#코로나일상', '#주말', '#외출', '#한번', '#감사한', '#하루', '#한파', '#겨울왕국']",2021-01-17,해운대 센텀시티
31,남편이 이쁘대요 자꾸??호호호호 죄송합니다?????♀?꽃 일상남편이 아침 문안인사와 동시에아침밥도 차려주구 토스트도 해줘서배뻥하구 뒹굴뒹굴 중이에요방구석 꽃#꽃#태양#사랑#이루다#주말#주말일상#코로나#코로나일상#먹스타그램#뒹굴뒹굴#집콕#집스타그램#맞팔#선팔#소통#공유#인친#친구#환영#좋아요#인스타그램#셀스타그램#일상#일상스타그램#데일리#데일리그램,"['#꽃', '#태양', '#사랑', '#이루다', '#주말', '#주말일상', '#코로나', '#코로나일상', '#먹스타그램', '#뒹굴뒹굴', '#집콕', '#집스타그램', '#맞팔', '#선팔', '#소통', '#공유', '#인친', '#친구', '#환영', '#좋아요', '#인스타그램', '#셀스타그램', '#일상', '#일상스타그램', '#데일리', '#데일리그램']",2021-01-17,
32,"태어나서 처음 해본 뜨개질, 코로나로 외출하기도 뭐한 시국에 집에서 한땀한땀 만들어봄. 누군가에게 유용하게 쓰이길. #뜨개질 #신생아의24시간을지켜주세요 #세이브더칠드런 #세이브더칠드런모자뜨기 #savethechildern #주말일상 #코로나일상 #강인혁변호사 #강인혁변리사 #lawyer #lawyerlife #주말스타그램","['#뜨개질', '#신생아의24시간을지켜주세요', '#세이브더칠드런', '#세이브더칠드런모자뜨기', '#savethechildern', '#주말일상', '#코로나일상', '#강인혁변호사', '#강인혁변리사', '#lawyer', '#lawyerlife', '#주말스타그램']",2021-01-17,
33,아침 메뉴 저녁에 바베큐 메뉴#부사이 핫플#세부#cebu#부사이#세부시티#일상#소통#맞팔#세부여행#필리핀#코로나일상#세부자유여행#시눌룩시즌#세부핫플#세부부사이,"['#부사이', '#세부', '#cebu', '#부사이', '#세부시티', '#일상', '#소통', '#맞팔', '#세부여행', '#필리핀', '#코로나일상', '#세부자유여행', '#시눌룩시즌', '#세부핫플', '#세부부사이']",2021-01-17,Chix Boy Bbq
34,"··#동네콕라이프#오곡리#함안군청소년문화의집#새책#새건물#동네한바퀴 빨리 댄스수업 하고싶다고,,,,,????그리고 #코인노래방???? 젤루 맘에 드는듯 ??··#우리동네#주말#토요일#어제일상#동네가조용#코로나일상#집콕#동네콕","['#동네콕라이프', '#오곡리', '#함안군청소년문화의집', '#새책', '#새건물', '#동네한바퀴', '#코인노래방????', '#우리동네', '#주말', '#토요일', '#어제일상', '#동네가조용', '#코로나일상', '#집콕', '#동네콕']",2021-01-17,
35,바람아~~ 코로나 싹 몰고 가라~~#곽지해수욕장 #제주바다 #제주바람 #오늘제주 #제주여행 #랜선여행 #코로나일상,"['#곽지해수욕장', '#제주바다', '#제주바람', '#오늘제주', '#제주여행', '#랜선여행', '#코로나일상']",2021-01-17,
36,부사이 핫플#세부#cebu#부사이#세부시티#일상#소통#맞팔#세부여행#필리핀#코로나일상#세부자유여행#시눌룩시즌#세부핫플,"['#세부', '#cebu', '#부사이', '#세부시티', '#일상', '#소통', '#맞팔', '#세부여행', '#필리핀', '#코로나일상', '#세부자유여행', '#시눌룩시즌', '#세부핫플']",2021-01-17,Chix Boy Bbq
37,"집콕덕분에 꽂혀버린 배구??일케 재밌는걸 왜 이제알았을까~~오늘도 어김없이 배구와함께...그나저나 민턴은 언제치나요ㅜㅜ 라켓 놓은지 두달...몸에서도, 마음에서도 잊혀져가는 배드민턴??#울산 #두아들맘 #일상 #일상기록 #코로나일상 #집콕 #주말 #배구 #V리그 #2시남자배구 #4시여자배구 #주말배구 #배구에꽂히다 #완전재밌음 #쫄깃쫄깃","['#울산', '#두아들맘', '#일상', '#일상기록', '#코로나일상', '#집콕', '#주말', '#배구', '#V리그', '#2시남자배구', '#4시여자배구', '#주말배구', '#배구에꽂히다', '#완전재밌음', '#쫄깃쫄깃']",2021-01-17,
38,어제 만든 사과잼 개시 계피향이 조으네~#맛없는사과처리하기 #사과잼 #잼만들기 #주말점심 #집밥 #홈쿡 #쿡스타그램 #인스타푸드 #온더테이블 #푸드스타그램 #코로나집밥 #코로나집콕 #코로나일상 #잼스타그램 #맛스타그램 #먹스타그램,"['#맛없는사과처리하기', '#사과잼', '#잼만들기', '#주말점심', '#집밥', '#홈쿡', '#쿡스타그램', '#인스타푸드', '#온더테이블', '#푸드스타그램', '#코로나집밥', '#코로나집콕', '#코로나일상', '#잼스타그램', '#맛스타그램', '#먹스타그램']",2021-01-17,
39,제가 좋아하는 해바라기 그림이 너무 예쁘게 그려져있길래 한 번 찍어봤어용???? 오늘 일요일 맞죵~?! 뭔가 일요일이 아닌 느낌인데 울 인님들은 어떤거 하면서 일요일 보내고 계세용? 내일부터 카페는 열린다고 하는데1인 이상은 1시간 이상 못 머문다고 하더라구용ㅎㅎㅎ 저희 모두 다 코로나 수칙 지키며 안전하게 다녀용??#주말#주말스타그램#일요일#일요일일상,"['#주말', '#주말스타그램', '#일요일', '#일요일일상']",2021-01-17,
40,"체다치즈였으면 좀더맛있었을텐데,아쉬운대로 냉장고에 있는 어린이치즈로 ??#마늘빵 #햄치즈토스트#주말일상 #주말점심 #요린이 #토스트만들기 #에어프라이기요리 #엄마일상 #코로나일상 #집콕 #먹스타그램 #맛있다 ??","['#마늘빵', '#햄치즈토스트', '#주말일상', '#주말점심', '#요린이', '#토스트만들기', '#에어프라이기요리', '#엄마일상', '#코로나일상', '#집콕', '#먹스타그램', '#맛있다']",2021-01-17,
41,#일요일 #주말점심 #치즈듬뿍 #스파게티 #연어 #주말메뉴 #주말요리 #홈스토랑 #집밥 #홈쿡 #쿡스타그램 #인스타푸드 #온더테이블 #푸드스타그램 #오늘의요리 #오늘의집밥 #코로나집밥 #코로나집콕 #코로나일상 #아이밥상 #맛스타그램 #먹스타그램 #주말스타그램 #일상스타그램,"['#일요일', '#주말점심', '#치즈듬뿍', '#스파게티', '#연어', '#주말메뉴', '#주말요리', '#홈스토랑', '#집밥', '#홈쿡', '#쿡스타그램', '#인스타푸드', '#온더테이블', '#푸드스타그램', '#오늘의요리', '#오늘의집밥', '#코로나집밥', '#코로나집콕', '#코로나일상', '#아이밥상', '#맛스타그램', '#먹스타그램', '#주말스타그램', '#일상스타그램']",2021-01-17,
42,.꽃 또는 풀 또는 아저씨??.. - 이지호 作 -..물어볼때마다 제목이 바뀌는 지호가 물감으로 (마구 찍어)그린 첫 작품장난감차까지 제스타일로 튜닝해드려요???--#엄마눈엔 #이건마치 #모네#물감놀이 #첫작품#이지호그램_ ?????????,"['#엄마눈엔', '#이건마치', '#모네', '#물감놀이', '#첫작품', '#이지호그램_']",2021-01-17,
43,더 신난 아부지??갈비집에서 왠 생일상을....??..이래저래툴툴털고많은것이 변할것이야#시간은흐른다 #코로나일상 #아이랑주말,"['#시간은흐른다', '#코로나일상', '#아이랑주말']",2021-01-17,
44,니들이 젤 예뻐??#일요일오후#오늘의창,"['#일요일오후', '#오늘의창']",2021-01-17,
45,-취향저격 예약제 아이포차 ??????#2차아이포텐댄스클럽--#마산 #퇴근후 #포차오픈 #예약제 #주말일상 #퇴근후 #저녁 #아이포차 #먹방 #안주맛집 #술스타그램 #?? #1인1메뉴 #과음 #삼땡 #친친 #힐링 #행복 #추억 #일상 #사진 #음식사진 #요리 #앨범 #공유 #좋아요 #?? #추억 #코로나일상 #????,"['#2차아이포텐댄스클럽--', '#마산', '#퇴근후', '#포차오픈', '#예약제', '#주말일상', '#퇴근후', '#저녁', '#아이포차', '#먹방', '#안주맛집', '#술스타그램', '#??', '#1인1메뉴', '#과음', '#삼땡', '#친친', '#힐링', '#행복', '#추억', '#일상', '#사진', '#음식사진', '#요리', '#앨범', '#공유', '#좋아요', '#??', '#추억', '#코로나일상', '#????']",2021-01-17,마산 창동
46,오늘도 역시 돌아서면 밥이구나??애들좋아하는 된장찌개끓여갈치 골라주고있는데한숨 자던 짝지지도 배고프단다암요차려드려야지요~~우린 재첩국에 쭈꾸미볶음맛이가있네????#일요일일상,['#일요일일상'],2021-01-17,
47,-.....으~ 너무 무서운 백상아ㅋㅋㅋ사랑한다 사랑해??????.....#육아 #소통 #맞팔 #팔로우 #일상 #매일 #하루하루 #워킹맘 #7세 #형님 #최고형님반 #일기 #코로나일상 #야밤에뻘짓 #감성 #갬성 #감성육아 #스킨쉽육아 #상어,"['#육아', '#소통', '#맞팔', '#팔로우', '#일상', '#매일', '#하루하루', '#워킹맘', '#7세', '#형님', '#최고형님반', '#일기', '#코로나일상', '#야밤에뻘짓', '#감성', '#갬성', '#감성육아', '#스킨쉽육아', '#상어']",2021-01-17,우리집
48,???????????????????????????????????????????????????간식???????????????????????????????????????????????????#감자샐러드#감자샐러드샌드위치#간만에먹으니까#더맛있어#주말간식#육아일상#코로나일상,"['#감자샐러드', '#감자샐러드샌드위치', '#간만에먹으니까', '#더맛있어', '#주말간식', '#육아일상', '#코로나일상']",2021-01-17,
